somme	pHash	dHash	aHash	soya	marche
48	22	26	23	/soya2/sourcing/img_soya/h3_00_13_c9363db8-d780-4903-9a97-df55d0478686.png	/soya2/sourcing/img_mkt/mic_jty_2.webp
48	22	26	27	/soya/gallery/06.jpg	/soya2/sourcing/img_mkt/mic_jty_5.webp
48	22	26	27	/soya/gallery/18.jpg	/soya2/sourcing/img_mkt/mic_jty_5.webp
48	22	26	27	/soya/gallery/22.jpg	/soya2/sourcing/img_mkt/mic_jty_5.webp
48	22	26	27	/soya/gallery/28.jpg	/soya2/sourcing/img_mkt/mic_jty_5.webp
48	22	26	27	/soya2/sourcing/img_soya/voy_04_9-Oreiller-de-Voyage-Ergonomique-Soya_img5.webp	/soya_prix/imgs/comfysle_2.img
48	22	26	27	/soya2/sourcing/img_soya/voy_05_9-Oreiller-de-Voyage-Ergonomique-Soya_img6.webp	/soya_prix/imgs/comfysle_2.img
48	22	26	27	/soya2/sourcing/img_soya/voy_06_9-Oreiller-de-Voyage-Ergonomique-Soya_img7.webp	/soya_prix/imgs/comfysle_2.img
48	22	26	30	/soya2/sourcing/img_soya/v3_30_IMG_9178.png	/soya_prix/imgs/zamatsle_1.img
48	22	26	30	/soya2/sourcing/img_soya/voy_01_9-Oreiller-de-Voyage-Ergonomique-Soya_img2.webp	/soya2/sourcing/img_mkt/mic_jty_2.webp
48	22	26	32	/soya2/sourcing/img_soya/v2_02_1-oreiller-soya-2_0_img3_5f834f33-5e47-49e1-a6a1-34e17f3341b	/soya2/sourcing/img_mkt/jty_p6036_1.webp
48	22	26	38	/soya2/sourcing/img_soya/v2_04_1-oreiller-soya-2_0_img5_a8a3199e-0071-4043-a899-f89baff5294	/soya2/sourcing/img_mkt/confal_5.img
48	24	24	18	/soya/gallery/03.jpg	/soya_prix/imgs/inphysio_1.img
48	24	24	18	/soya/gallery/14.jpg	/soya_prix/imgs/inphysio_1.img
48	24	24	18	/soya/gallery/27.jpg	/soya_prix/imgs/inphysio_1.img
48	24	24	19	/soya2/sourcing/img_soya/enf_01_KIDSP1_4.jpg	/soya_prix/imgs/htconfort_0.img
48	24	24	20	/soya/gallery/19.jpg	/soya2/sourcing/img_mkt/derila_2.img
48	24	24	20	/soya2/sourcing/img_soya/enf_16_KIDS_YELLOW_7.png	/soya2/sourcing/img_mkt/jty_p6036_4.webp
48	24	24	21	/soya2/sourcing/img_soya/lomb_01_4-Coussin_Lombaire_Ergonomique_Soya_img2.webp	/soya_prix/imgs/htconfort_1.img
48	24	24	21	/soya2/sourcing/img_soya/v3_27_Firefly_Gemini_Flash_Generate_the_same_image_exactly_as_the_	/soya2/sourcing/img_mkt/comfy_6.img
48	24	24	22	/soya2/sourcing/img_soya/enf_15_KIDS_YELLOW_4.png	/soya_prix/imgs/htconfort_0.img
48	24	24	22	/soya2/sourcing/img_soya/enf_16_KIDS_YELLOW_7.png	/soya_prix/imgs/zamatsle_1.img
48	24	24	23	/soya2/sourcing/img_soya/enf_18_KIDS_YELLOW_2.png	/soya_prix/imgs/inphysio_0.img
48	24	24	23	/soya2/sourcing/img_soya/henf_05_KIDS_YELLOW_2.png	/soya_prix/imgs/inphysio_0.img
48	24	24	24	/soya2/sourcing/img_soya/enf_16_KIDS_YELLOW_7.png	/soya_prix/imgs/htconfort_0.img
48	24	24	25	/soya2/sourcing/img_soya/voy_01_9-Oreiller-de-Voyage-Ergonomique-Soya_img2.webp	/soya2/sourcing/img_mkt/mic_tnjk_11.webp
48	24	24	25	/soya2/sourcing/img_soya/voy_01_9-Oreiller-de-Voyage-Ergonomique-Soya_img2.webp	/soya2/sourcing/img_mkt/mic_tnjk_4.webp
48	24	24	25	/soya2/sourcing/img_soya/voy_01_9-Oreiller-de-Voyage-Ergonomique-Soya_img2.webp	/soya2/sourcing/img_mkt/mic_tnjk_7.webp
48	24	24	31	/soya2/sourcing/img_soya/enf_00_KIDSP2.jpg	/soya2/sourcing/img_mkt/mic_jty_12.webp
48	24	24	31	/soya2/sourcing/img_soya/enf_11_KIDS_PINK_7.png	/soya2/sourcing/img_mkt/confal_3.img
48	24	24	31	/soya2/sourcing/img_soya/henf_04_KIDS_PINK_7.png	/soya2/sourcing/img_mkt/confal_3.img
